class,color,transparency,0,1,2,3,4
3,5,1,12.55906515807742,9.864953463165682,1.8007334511670514,0.15139563459597247,2.4938833697089535
5,2,2,-14.796832894175493,1.8558756895651511,0.6724293769764895,-0.806437233036292,0.32822027600962295
6,1,3,4.083690311534681,-8.51540604146225,-2.3117477227384695,4.038677230182782,4.283172504304974
1,4,1,-13.932034562937615,2.3791823074223073,-0.14841006364995876,3.763484004142851,-0.6148316083582575
1,1,3,2.1199910785179523,-13.24645690323807,-5.726456618440617,-2.0553166462100014,1.207232241790287
6,1,1,-6.237381594144439,-0.1298321385450401,-6.724192944340243,-3.411912816350878,-5.702973617570834
0,8,1,-13.949228612900946,4.101954060610111,2.929758140368691,-2.0895982717660013,2.3252315171182896
1,7,1,3.9695731312304945,-13.290473032137177,-4.807221107185821,-2.4593077619526076,1.213730989012777
5,2,2,-14.71542905788236,2.2480733641668826,-0.40242532275247617,1.1185762074190966,-0.36886057010983464
0,2,2,-14.244675709759374,3.4239120229519826,1.450207957395323,-1.9283370390546992,1.8019901519518475
1,7,1,-1.0264821696980992,8.404752928255506,-2.7218063944609736,4.304823223120203,-2.5739520561906915
1,3,1,3.345597949556133,9.310449279792156,-2.200526056769579,5.382423711257272,-0.6086870323814245
5,1,1,-11.576716570626525,2.000952722507479,-2.5391356559078453,0.9399837709735216,-4.776557579823091
5,1,1,-11.930687829071912,-1.0275958631043778,-1.914463613032393,0.409316519016118,-5.899836954678073
5,2,2,-13.443148158561131,2.6776992714202037,3.6176795658322622,-2.074327750084397,2.5914080441496368
5,1,1,7.276687926444978,-5.357872291174175,12.691673042564995,4.050525082805594,-1.727895590659842
1,1,1,2.758596816739853,8.268165519695295,-3.5721251433692247,3.158349412055491,-2.180138321889186
4,1,1,10.933539553587302,3.6803214296262703,-6.523961914319506,-4.095404319698163,0.16676005678962974
0,8,1,2.550294510189912,7.156696111761931,-4.461822385367459,6.0303419072412145,-1.2373495689583145
3,1,1,3.125669826490795,-5.3398196537006495,7.782893655624056,2.483188674304897,-3.70015553820841
5,1,1,-10.93191372646669,0.8010229818018308,-2.393807469675557,0.25137202613925885,-5.3442167728674494
2,5,1,9.174733258143515,12.260515507785797,3.0054009668579895,-0.8550707323866532,3.238457862600414
4,6,1,11.438168490415897,10.887348119770715,1.5639952817481784,-0.5257341701973758,3.124293439062266
2,9,1,12.42167493874046,9.82935527745413,0.34145797359295105,-1.693790108614473,1.9650362374680457
0,1,1,6.382246968911892,-8.36097870331707,-8.098067160906286,-4.938466265582611,-1.0230874369922578
2,6,3,-4.827879511434312,-0.07361220562587614,5.436809324790866,-4.092070695777826,4.966708962602974
0,2,2,5.853217761030078,3.2742546734161855,11.111078106612151,3.72704467121472,0.09134813539522683
3,1,3,2.289202452390144,-5.18486103511053,7.347398093612569,2.6709824260692407,-3.7238416556173384
5,1,1,-11.448471777006294,1.325724192538605,-2.016099249695688,1.1048493756450786,-4.954239192839106
6,1,3,1.1017263318483383,-8.553820969916439,3.3983514405155746,1.7599665374788416,1.4129253619479247
3,5,1,12.730581621268596,9.69363156612691,1.7498643207894586,0.11343555405684322,2.401901273185323
2,8,1,12.158428869180723,10.36698725420836,1.2653761458145303,-0.35889207260788936,2.3393939345439194
2,8,1,12.372804063831595,10.073338605251497,0.8854824607635187,-0.4506668946254885,1.8563004705050736
4,4,1,15.141588365172655,1.1466390702661613,4.893618223311336,3.8320210467629052,-0.4523383935719393
6,1,1,-5.50878632933512,-6.204793140862336,-3.715156681763513,7.087621156271478,1.043617567923379
4,1,1,1.109444844307175,-1.6898074984518114,-7.082585234677029,-3.7844676782788405,-5.857390572171004
2,6,1,1.240317139473634,1.1552946802504098,-9.821799531083785,-4.6398348734206465,-3.342277628279455
4,4,1,-7.886802563827459,6.774138532018509,1.899494832087539,-9.28287156090119,-0.7639773813157981
4,3,1,12.350733091002091,10.106514863408858,1.2287900833584502,-0.07838771300697948,2.0809676800342674
4,1,1,4.985175146588492,-5.747548832661707,-9.633347924826797,-4.630449540661548,0.23076804536176448
0,3,1,13.971814938931022,-7.215200871267662,2.203282621790107,-0.6616457182152594,-4.246227727843241
5,1,1,-12.23678268735338,1.423421214917188,-1.0689881064185296,1.6823895797675668,-4.691926983701247
1,1,1,2.6270281655002417,-12.583039908365224,-5.996752360095501,-2.08769651152318,1.4300953678506207
4,5,1,12.954635296947401,-9.820081171951921,8.236766776691367,1.7895683520554129,-0.5936770876857497
0,8,1,-14.356418177050683,3.602229775782014,1.5950958835065645,-0.7681872471881136,1.944218845596931
4,1,1,13.355386738899705,7.208521512323683,-1.0641046632453306,-2.6541232826522307,2.778649435038398
1,7,1,-4.926449380421662,6.396909209187632,-5.142569151099733,4.491043098116372,-1.6256580301298669
4,1,1,2.2797697651526887,-5.520945433898752,-10.42678312451173,-4.043619005330874,1.356417557801496
1,1,1,-1.9569177445843977,7.91375794735813,-3.065013838964041,5.699071056531799,-1.5660120436714693
0,1,1,-2.396071052285668,3.071076927602508,2.088883770485015,-11.066993761260582,-7.671148612023814
0,1,1,-6.942376142476093,7.296854747528566,-1.742431806117937,6.158800283849918,-1.532011679435362
2,6,1,11.17976472533242,10.56970894191062,-0.026822797632730804,-2.4986044980003546,2.430497005173133
3,3,1,13.958182637518577,8.077162926368898,1.6652037475668917,0.9504960063250361,0.6926969416281349
2,5,1,10.636604055230233,11.207516943775376,1.6664021286155648,-1.7563920478804294,3.2953552689006163
